Passenger Arrivals by Nationality,Gender,Total Passenger Arrivals by Nationality,Year
Chile,Male,10747,2007
Ecuador,Female,6012,2007
Ecuador,Male,6678,2007
Peru,Female,5182,2007
Peru,Male,5999,2007
Uruguay,Female,941,2007
Uruguay,Male,1157,2007
Venezuela,Female,21366,2007
Venezuela,Male,25512,2007
Other South America,Female,485,2007
Other South America,Male,615,2007
Europe,Female,642286,2007
Europe,Male,698621,2007
Germany,Female,101275,2007
Germany,Male,113667,2007
Austria,Female,5341,2007
Austria,Male,5892,2007
Belgium,Female,20375,2007
Belgium,Male,21721,2007
Bulgaria,Female,231,2007
Bulgaria,Male,251,2007
Denmark,Female,1071,2007
Denmark,Male,1612,2007
Scotland,Female,1801,2007
Scotland,Male,1572,2007
Spain,Female,123959,2007
Spain,Male,143406,2007
Finland,Female,1121,2007
Finland,Male,1070,2007
France,Female,136902,2007
France,Male,141245,2007
Greece,Female,270,2007
Greece,Male,413,2007
Netherlands,Female,26909,2007
Netherlands,Male,28948,2007
Hungary,Female,340,2007
Hungary,Male,370,2007
United Kingdom,Female,108139,2007
United Kingdom,Male,109351,2007
Ireland,Female,552,2007
Ireland,Male,446,2007
Italy,Female,64690,2007
Italy,Male,75733,2007
Luxembourg,Female,280,2007
Luxembourg,Male,150,2007
Norway,Female,733,2007
Norway,Male,1127,2007
Poland,Female,1479,2007
Poland,Male,1465,2007
Portugal,Female,16871,2007
Portugal,Male,17023,2007
Czech Republic,Female,1861,2007
Czech Republic,Male,1604,2007
Romania,Female,235,2007
Romania,Male,234,2007
Russia,Female,10096,2007
Russia,Male,11344,2007
Sweden,Female,1983,2007
Sweden,Male,2566,2007
Switzerland,Female,13855,2007
Switzerland,Male,15393,2007
Ukraine,Female,948,2007
Ukraine,Male,991,2007
Other Europe,Female,969,2007
Other Europe,Male,1027,2007
Asia,Female,2929,2007
Asia,Male,6189,2007
South Korea,Female,421,2007
South Korea,Male,841,2007
China,Female,220,2007
China,Male,314,2007
India,Female,150,2007
India,Male,513,2007
Israel,Female,573,2007
Israel,Male,1729,2007
Japan,Female,958,2007
Japan,Male,1618,2007
Taiwan,Female,191,2007
Taiwan,Male,402,2007
Other Asia,Female,416,2007
Other Asia,Male,772,2007
Rest of the World,Female,765,2007
Rest of the World,Male,1296,2007
Australia,Female,595,2007
Australia,Male,924,2007
Other Rest of the World,Female,170,2007
Other Rest of the World,Male,372,2007
Resident Dominicans,Female,184037,2008
Resident Dominicans,Male,189302,2008
Resident Foreigners,Female,18568,2008
Resident Foreigners,Male,27164,2008
Non-Resident Dominicans,Female,269194,2008
Non-Resident Dominicans,Male,262748,2008
Non-Resident Foreigners,Female,1555277,2008
Non-Resident Foreigners,Male,1892453,2008
North America,Female,808352,2008
North America,Male,962974,2008
Canada,Female,308489,2008
Canada,Male,331307,2008
United States,Female,492501,2008
United States,Male,615397,2008
Mexico,Female,77362,2008
Mexico,Male,16270,2008
Central America and Caribbean,Female,64794,2008
Central America and Caribbean,Male,103222,2008
Aruba,Female,1206,2008
Aruba,Male,1214,2008
Turks and Caicos Islands,Female,297,2008
Turks and Caicos Islands,Male,923,2008
Costa Rica,Female,3255,2008
Costa Rica,Male,5462,2008
Cuba,Female,1540,2008
Cuba,Male,2336,2008
Curacao,Female,1690,2008
Curacao,Male,2493,2008
El Salvador,Female,1443,2008
El Salvador,Male,2317,2008
Guadeloupe,Female,2129,2008
Guadeloupe,Male,3028,2008
Guatemala,Female,1746,2008
Guatemala,Male,3403,2008
Haiti,Female,2679,2008
Haiti,Male,4441,2008
Honduras,Female,899,2008
Honduras,Male,1331,2008
Jamaica,Female,438,2008
Jamaica,Male,854,2008
Martinique,Female,1974,2008
Martinique,Male,2665,2008
Panama,Female,2996,2008
Panama,Male,5660,2008
Puerto Rico,Female,38297,2008
Puerto Rico,Male,59295,2008
Saint Martin,Female,1184,2008
Saint Martin,Male,1828,2008
Trinidad and Tobago,Female,669,2008
Trinidad and Tobago,Male,798,2008
U.S. Virgin Islands,Female,467,2008
U.S. Virgin Islands,Male,1025,2008
Other Caribbean,Female,1885,2008
Other Caribbean,Male,4149,2008
South America,Female,84282,2008
South America,Male,104339,2008
Argentina,Female,15457,2008
Argentina,Male,20019,2008
Bolivia,Female,485,2008
Bolivia,Male,652,2008
Brazil,Female,5555,2008
Brazil,Male,7958,2008
Colombia,Female,14324,2008
Colombia,Male,16813,2008
Chile,Female,13601,2008
Chile,Male,14940,2008
Ecuador,Female,7356,2008
Ecuador,Male,9330,2008
Peru,Female,7282,2008
Peru,Male,8767,2008
Uruguay,Female,1123,2008
Uruguay,Male,1444,2008
Venezuela,Female,18625,2008
Venezuela,Male,23759,2008
Other South America,Female,474,2008
Other South America,Male,657,2008
Europe,Female,594196,2008
Europe,Male,714705,2008
Germany,Female,91781,2008
Germany,Male,115159,2008
Austria,Female,3937,2008
Austria,Male,5705,2008
Belgium,Female,18618,2008
Belgium,Male,24558,2008
Bulgaria,Female,215,2008
Bulgaria,Male,321,2008
Denmark,Female,1117,2008
Denmark,Male,1181,2008
Scotland,Female,3414,2008
Scotland,Male,3168,2008
Spain,Female,102470,2008
Spain,Male,137168,2008
Finland,Female,1440,2008
Finland,Male,1328,2008
France,Female,132128,2008
France,Male,147280,2008
Greece,Female,319,2008
Greece,Male,549,2008
Netherlands,Female,22446,2008
Netherlands,Male,27514,2008
Hungary,Female,315,2008
Hungary,Male,453,2008
United Kingdom,Female,99464,2008
United Kingdom,Male,106908,2008
Ireland,Female,1308,2008
Ireland,Male,1585,2008
Italy,Female,57283,2008
Italy,Male,70100,2008
Luxembourg,Female,166,2008
Luxembourg,Male,225,2008
Norway,Female,1018,2008
Norway,Male,1189,2008
Poland,Female,2194,2008
Poland,Male,3242,2008
Portugal,Female,14031,2008
Portugal,Male,18147,2008
Czech Republic,Female,2275,2008
Czech Republic,Male,2451,2008
Romania,Female,297,2008
Romania,Male,268,2008
Russia,Female,17803,2008
Russia,Male,21931,2008
Sweden,Female,2827,2008
Sweden,Male,2875,2008
Switzerland,Female,14983,2008
Switzerland,Male,18877,2008
Ukraine,Female,1131,2008
Ukraine,Male,1114,2008
Other Europe,Female,1216,2008
Other Europe,Male,1409,2008
Asia,Female,2605,2008
Asia,Male,5609,2008
South Korea,Female,315,2008
South Korea,Male,699,2008
China,Female,157,2008
China,Male,334,2008
India,Female,232,2008
India,Male,522,2008
Israel,Female,421,2008
Israel,Male,1289,2008
Japan,Female,836,2008
Japan,Male,1445,2008
Taiwan,Female,182,2008
Taiwan,Male,382,2008
Other Asia,Female,462,2008
Other Asia,Male,938,2008
Rest of the World,Female,1048,2008
Rest of the World,Male,1604,2008
Australia,Female,823,2008
Australia,Male,1051,2008
Other Rest of the World,Female,225,2008
Other Rest of the World,Male,553,2008
Resident Dominicans,Female,187488,2009
Resident Dominicans,Male,188385,2009
Resident Foreigners,Female,18792,2009
Resident Foreigners,Male,27788,2009
Non-Resident Dominicans,Female,298162,2009
Non-Resident Dominicans,Male,278525,2009
Non-Resident Foreigners,Female,1655836,2009
Non-Resident Foreigners,Male,1759780,2009
North America,Female,890003,2009
North America,Male,929291,2009
Canada,Female,332362,2009
Canada,Male,317749,2009
United States,Female,552015,2009
United States,Male,598860,2009
Mexico,Female,5626,2009
Mexico,Male,12682,2009
Central America and Caribbean,Female,72733,2009
Central America and Caribbean,Male,102090,2009
Aruba,Female,884,2009
Aruba,Male,1026,2009
Turks and Caicos Islands,Female,302,2009
Turks and Caicos Islands,Male,739,2009
Costa Rica,Female,3156,2009
Costa Rica,Male,4954,2009
Cuba,Female,1282,2009
Cuba,Male,2013,2009
Curacao,Female,1753,2009
Curacao,Male,2613,2009
El Salvador,Female,1481,2009
El Salvador,Male,1981,2009
Guadeloupe,Female,2415,2009
Guadeloupe,Male,2919,2009
Guatemala,Female,1938,2009
Guatemala,Male,3845,2009
Haiti,Female,2039,2009
Haiti,Male,3417,2009
Honduras,Female,641,2009
Honduras,Male,1118,2009
Jamaica,Female,330,2009
Jamaica,Male,552,2009
Martinique,Female,1375,2009
Martinique,Male,2011,2009
Panama,Female,3891,2009
Panama,Male,7078,2009
Puerto Rico,Female,46609,2009
Puerto Rico,Male,61001,2009
Saint Martin,Female,1387,2009
Saint Martin,Male,1557,2009
Trinidad and Tobago,Female,413,2009
Trinidad and Tobago,Male,530,2009
U.S. Virgin Islands,Female,294,2009
U.S. Virgin Islands,Male,775,2009
Other Caribbean,Female,2543,2009
Other Caribbean,Male,3961,2009
South America,Female,99935,2009
South America,Male,108645,2009
Argentina,Female,20549,2009
Argentina,Male,22581,2009
Bolivia,Female,1529,2009
Bolivia,Male,1524,2009
Brazil,Female,8949,2009
Brazil,Male,10621,2009
Colombia,Female,13845,2009
Colombia,Male,15311,2009
Chile,Female,15050,2009
Chile,Male,14445,2009
Ecuador,Female,7885,2009
Ecuador,Male,7912,2009
Peru,Female,9786,2009
Peru,Male,10039,2009
Uruguay,Female,1788,2009
Uruguay,Male,2077,2009
Venezuela,Female,19539,2009
Venezuela,Male,23096,2009
Other South America,Female,1015,2009
Other South America,Male,1039,2009
Europe,Female,590130,2009
Europe,Male,613126,2009
Germany,Female,86769,2009
Germany,Male,91764,2009
Austria,Female,5056,2009
Austria,Male,4993,2009
Belgium,Female,18984,2009
Belgium,Male,19145,2009
Bulgaria,Female,229,2009
Bulgaria,Male,270,2009
Denmark,Female,971,2009
Denmark,Male,1090,2009
Scotland,Female,2674,2009
Scotland,Male,3037,2009
Spain,Female,111230,2009
Spain,Male,120045,2009
Finland,Female,2090,2009
Finland,Male,2355,2009
France,Female,122959,2009
France,Male,124079,2009
Greece,Female,195,2009
Greece,Male,372,2009
Netherlands,Female,20214,2009
Netherlands,Male,21391,2009
Hungary,Female,336,2009
Hungary,Male,368,2009
United Kingdom,Female,89737,2009
United Kingdom,Male,86443,2009
Ireland,Female,818,2009
Ireland,Male,949,2009
Italy,Female,52348,2009
Italy,Male,63427,2009
Luxembourg,Female,214,2009
Luxembourg,Male,259,2009
Norway,Female,1227,2009
Norway,Male,1348,2009
Poland,Female,1681,2009
Poland,Male,2114,2009
Portugal,Female,21721,2009
Portugal,Male,21009,2009
Czech Republic,Female,2434,2009
Czech Republic,Male,3092,2009
Romania,Female,288,2009
Romania,Male,304,2009
Russia,Female,27049,2009
Russia,Male,22703,2009
Sweden,Female,2960,2009
Sweden,Male,3193,2009
Switzerland,Female,14555,2009
Switzerland,Male,15028,2009
Ukraine,Female,1097,2009
Ukraine,Male,1230,2009
Other Europe,Female,2294,2009
Other Europe,Male,3118,2009
Asia,Female,2187,2009
Asia,Male,5420,2009
South Korea,Female,221,2009
South Korea,Male,716,2009
China,Female,105,2009
China,Male,276,2009
India,Female,182,2009
India,Male,624,2009
Israel,Female,338,2009
Israel,Male,1107,2009
Japan,Female,741,2009
Japan,Male,1295,2009
Taiwan,Female,160,2009
Taiwan,Male,317,2009
Other Asia,Female,440,2009
Other Asia,Male,1085,2009
Rest of the World,Female,848,2009
Rest of the World,Male,1208,2009
Australia,Female,626,2009
Australia,Male,771,2009
Other Rest of the World,Female,222,2009
Other Rest of the World,Male,437,2009
Resident Dominicans,Female,207042,2010
Resident Dominicans,Male,203871,2010
Resident Foreigners,Female,20119,2010
Resident Foreigners,Male,30689,2010
Non-Resident Dominicans,Female,315422,2010
Non-Resident Dominicans,Male,288011,2010
Non-Resident Foreigners,Female,1866642,2010
Non-Resident Foreigners,Male,1654468,2010
North America,Female,1029783,2010
North America,Male,872533,2010
Canada,Female,379197,2010
Canada,Male,282861,2010
United States,Female,643459,2010
United States,Male,576104,2010
Mexico,Female,7127,2010
Mexico,Male,13568,2010
Central America and Caribbean,Female,81230,2010
Central America and Caribbean,Male,108403,2010
Aruba,Female,957,2010
Aruba,Male,916,2010
Turks and Caicos Islands,Female,355,2010
Turks and Caicos Islands,Male,681,2010
Costa Rica,Female,2869,2010
Costa Rica,Male,5542,2010
Cuba,Female,1679,2010
Cuba,Male,2139,2010
Curacao,Female,1428,2010
Curacao,Male,2979,2010
El Salvador,Female,1394,2010
El Salvador,Male,2316,2010
Guadeloupe,Female,2082,2010
Guadeloupe,Male,3106,2010
Guatemala,Female,1754,2010
Guatemala,Male,3666,2010
Haiti,Female,3384,2010
Haiti,Male,6134,2010
Honduras,Female,781,2010
Honduras,Male,1396,2010
Jamaica,Female,458,2010
Jamaica,Male,666,2010
Martinique,Female,1952,2010
Martinique,Male,2300,2010
Panama,Female,2977,2010
Panama,Male,6429,2010
Puerto Rico,Female,55401,2010
Puerto Rico,Male,62800,2010
Saint Martin,Female,849,2010
Saint Martin,Male,1671,2010
Trinidad and Tobago,Female,568,2010
Trinidad and Tobago,Male,870,2010
U.S. Virgin Islands,Female,226,2010
U.S. Virgin Islands,Male,600,2010
Other Caribbean,Female,2116,2010
Other Caribbean,Male,4192,2010
South America,Female,140926,2010
South America,Male,135090,2010
Argentina,Female,36543,2010
Argentina,Male,32639,2010
Bolivia,Female,2584,2010
Bolivia,Male,2522,2010
Brazil,Female,19258,2010
Brazil,Male,17895,2010
Colombia,Female,15282,2010
Colombia,Male,15981,2010
Chile,Female,21958,2010
Chile,Male,18771,2010
Ecuador,Female,9171,2010
Ecuador,Male,7426,2010
Peru,Female,11413,2010
Peru,Male,13223,2010
Uruguay,Female,2074,2010
Uruguay,Male,2380,2010
Venezuela,Female,21876,2010
Venezuela,Male,23320,2010
Other South America,Female,767,2010
Other South America,Male,933,2010
Europe,Female,610977,2010
Europe,Male,530213,2010
Germany,Female,97942,2010
Germany,Male,83376,2010
Austria,Female,4806,2010
Austria,Male,4834,2010
Belgium,Female,21630,2010
Belgium,Male,16557,2010
Bulgaria,Female,259,2010
Bulgaria,Male,323,2010
Denmark,Female,874,2010
Denmark,Male,1271,2010
Scotland,Female,3154,2010
Scotland,Male,3819,2010
Spain,Female,102351,2010
Spain,Male,87255,2010
Finland,Female,2094,2010
Finland,Male,2151,2010
France,Female,131284,2010
France,Male,99691,2010
Greece,Female,129,2010
Greece,Male,366,2010
Netherlands,Female,21154,2010
Netherlands,Male,18946,2010
Hungary,Female,357,2010
Hungary,Male,446,2010
United Kingdom,Female,87110,2010
United Kingdom,Male,74138,2010
Ireland,Female,803,2010
Ireland,Male,761,2010
Italy,Female,40900,2010
Italy,Male,54052,2010
Luxembourg,Female,223,2010
Luxembourg,Male,272,2010
Norway,Female,772,2010
Norway,Male,1119,2010
Poland,Female,2391,2010
Poland,Male,2543,2010
Portugal,Female,20906,2010
Portugal,Male,16035,2010
Czech Republic,Female,3037,2010
Czech Republic,Male,3075,2010
Romania,Female,446,2010
Romania,Male,302,2010
Russia,Female,42557,2010
Russia,Male,33502,2010
Sweden,Female,3550,2010
Sweden,Male,4210,2010
Switzerland,Female,15565,2010
Switzerland,Male,14012,2010
Ukraine,Female,1571,2010
Ukraine,Male,1861,2010
Other Europe,Female,5112,2010
Other Europe,Male,5296,2010
Asia,Female,2578,2010
Asia,Male,6415,2010
South Korea,Female,343,2010
South Korea,Male,1063,2010
China,Female,188,2010
China,Male,458,2010
India,Female,104,2010
India,Male,744,2010
Israel,Female,414,2010
Israel,Male,1062,2010
Japan,Female,787,2010
Japan,Male,1444,2010
Taiwan,Female,153,2010
Taiwan,Male,302,2010
Other Asia,Female,589,2010
Other Asia,Male,1342,2010
Rest of the World,Female,1148,2010
Rest of the World,Male,1814,2010
Australia,Female,724,2010
Australia,Male,952,2010
Other Rest of the World,Female,424,2010
Other Rest of the World,Male,862,2010
Resident Dominicans,Female,210727,2011
Resident Dominicans,Male,208244,2011
Resident Foreigners,Female,20131,2011
Resident Foreigners,Male,30940,2011
Non-Resident Dominicans,Female,320124,2011
Non-Resident Dominicans,Male,283310,2011
Non-Resident Foreigners,Female,1854529,2011
Non-Resident Foreigners,Male,1848468,2011
North America,Female,1018013,2011
North America,Male,970922,2011
Canada,Female,363632,2011
Canada,Male,304658,2011
United States,Female,646480,2011
United States,Male,650698,2011
Mexico,Female,7901,2011
Mexico,Male,15566,2011
Central America and Caribbean,Female,72171,2011
Central America and Caribbean,Male,114624,2011
Aruba,Female,821,2011
Aruba,Male,1067,2011
Turks and Caicos Islands,Female,220,2011
Turks and Caicos Islands,Male,698,2011
Costa Rica,Female,3533,2011
Costa Rica,Male,6085,2011
Cuba,Female,1507,2011
Cuba,Male,2331,2011
Curacao,Female,1487,2011
Curacao,Male,2895,2011
El Salvador,Female,1450,2011
El Salvador,Male,2420,2011
Guadeloupe,Female,2409,2011
Guadeloupe,Male,4027,2011
Guatemala,Female,2240,2011
Guatemala,Male,4168,2011
Haiti,Female,3213,2011
Haiti,Male,6504,2011
Honduras,Female,916,2011
Honduras,Male,1542,2011
Jamaica,Female,381,2011
Jamaica,Male,646,2011
Martinique,Female,1594,2011
Martinique,Male,2239,2011
Panama,Female,4444,2011
Panama,Male,7935,2011
Puerto Rico,Female,44141,2011
Puerto Rico,Male,65364,2011
Saint Martin,Female,1138,2011
Saint Martin,Male,1516,2011
Trinidad and Tobago,Female,433,2011
Trinidad and Tobago,Male,774,2011
U.S. Virgin Islands,Female,260,2011
U.S. Virgin Islands,Male,589,2011
Other Caribbean,Female,1984,2011
Other Caribbean,Male,3824,2011
South America,Female,187191,2011
South America,Male,196259,2011
Argentina,Female,51044,2011
Argentina,Male,46418,2011
Bolivia,Female,3955,2011
Bolivia,Male,3666,2011
Brazil,Female,37474,2011
Brazil,Male,39151,2011
Colombia,Female,19183,2011
Colombia,Male,21799,2011
Chile,Female,26162,2011
Chile,Male,23700,2011
Ecuador,Female,8830,2011
Ecuador,Male,9956,2011
Peru,Female,13875,2011
Peru,Male,16771,2011
Uruguay,Female,2635,2011
Uruguay,Male,2991,2011
Venezuela,Female,22758,2011
Venezuela,Male,30321,2011
Other South America,Female,1275,2011
Other South America,Male,1486,2011
Europe,Female,573809,2011
Europe,Male,558200,2011
Germany,Female,95497,2011
Germany,Male,88350,2011
Austria,Female,4037,2011
Austria,Male,4202,2011
Belgium,Female,19420,2011
Belgium,Male,17535,2011
Bulgaria,Female,168,2011
Bulgaria,Male,387,2011
Denmark,Female,671,2011
Denmark,Male,1038,2011
Scotland,Female,1053,2011
Scotland,Male,936,2011
Spain,Female,82522,2011
Spain,Male,87671,2011
Finland,Female,1239,2011
Finland,Male,1144,2011
France,Female,130073,2011
France,Male,116343,2011
Greece,Female,96,2011
Greece,Male,358,2011
Netherlands,Female,18531,2011
Netherlands,Male,19330,2011
Hungary,Female,307,2011
Hungary,Male,473,2011
United Kingdom,Female,71897,2011
United Kingdom,Male,62961,2011
Ireland,Female,398,2011
Ireland,Male,698,2011
Italy,Female,44421,2011
Italy,Male,55401,2011
Luxembourg,Female,221,2011
Luxembourg,Male,214,2011
Norway,Female,693,2011
Norway,Male,834,2011
Poland,Female,3305,2011
Poland,Male,3601,2011
Portugal,Female,15437,2011
Portugal,Male,13966,2011
Czech Republic,Female,2963,2011
Czech Republic,Male,3033,2011
Romania,Female,327,2011
Romania,Male,644,2011
Russia,Female,61847,2011
Russia,Male,58905,2011
Sweden,Female,2548,2011
Sweden,Male,2791,2011
Switzerland,Female,12549,2011
Switzerland,Male,13973,2011
Ukraine,Female,1750,2011
Ukraine,Male,1752,2011
Other Europe,Female,1839,2011
Other Europe,Male,1660,2011
Asia,Female,2440,2011
Asia,Male,6936,2011
South Korea,Female,334,2011
South Korea,Male,966,2011
China,Female,310,2011
China,Male,591,2011
India,Female,111,2011
India,Male,853,2011
Israel,Female,303,2011
Israel,Male,901,2011
Japan,Female,643,2011
Japan,Male,1627,2011
Taiwan,Female,216,2011
Taiwan,Male,302,2011
Other Asia,Female,523,2011
Other Asia,Male,1696,2011
Rest of the World,Female,905,2011
Rest of the World,Male,1527,2011
Australia,Female,541,2011
Australia,Male,820,2011
Other Rest of the World,Female,364,2011
Other Rest of the World,Male,707,2011
Resident Dominicans,Female,219013,2012
Resident Dominicans,Male,212439,2012
Resident Foreigners,Female,20774,2012
Resident Foreigners,Male,32189,2012
Non-Resident Dominicans,Female,338738,2012
Non-Resident Dominicans,Male,300175,2012
Non-Resident Foreigners,Female,1970722,2012
Non-Resident Foreigners,Male,1952971,2012
North America,Female,1123161,2012
North America,Male,1071907,2012
Canada,Female,370778,2012
Canada,Male,318765,2012
United States,Female,743064,2012
United States,Male,735851,2012
Mexico,Female,9319,2012
Mexico,Male,17291,2012
Central America and Caribbean,Female,72171,2012
Central America and Caribbean,Male,118716,2012
Aruba,Female,679,2012
Aruba,Male,826,2012
Turks and Caicos Islands,Female,366,2012
Turks and Caicos Islands,Male,875,2012
Costa Rica,Female,3950,2012
Costa Rica,Male,5929,2012
Cuba,Female,1611,2012
Cuba,Male,2385,2012
Curacao,Female,1884,2012
Curacao,Male,3427,2012
El Salvador,Female,1609,2012
El Salvador,Male,2313,2012
Guadeloupe,Female,2346,2012
Guadeloupe,Male,3731,2012
Guatemala,Female,2118,2012
Guatemala,Male,4141,2012
Haiti,Female,2706,2012
Haiti,Male,6725,2012
Honduras,Female,815,2012
Honduras,Male,1182,2012
Jamaica,Female,420,2012
Jamaica,Male,626,2012
Martinique,Female,1696,2012
Martinique,Male,2922,2012
Panama,Female,5735,2012
Panama,Male,8571,2012
Puerto Rico,Female,44751,2012
Puerto Rico,Male,67842,2012
Saint Martin,Female,1320,2012
Saint Martin,Male,2091,2012
Trinidad and Tobago,Female,415,2012
Trinidad and Tobago,Male,857,2012
U.S. Virgin Islands,Female,289,2012
U.S. Virgin Islands,Male,776,2012
Other Caribbean,Female,2112,2012
Other Caribbean,Male,3497,2012
South America,Female,216828,2012
South America,Male,212950,2012
Argentina,Female,52087,2012
Argentina,Male,49234,2012
Bolivia,Female,3799,2012
Bolivia,Male,3602,2012
Brazil,Female,40303,2012
Brazil,Male,39634,2012
Colombia,Female,22516,2012
Colombia,Male,22439,2012
Chile,Female,32867,2012
Chile,Male,27937,2012
Ecuador,Female,6328,2012
Ecuador,Male,7561,2012
Peru,Female,20172,2012
Peru,Male,18781,2012
Uruguay,Female,2696,2012
Uruguay,Male,3174,2012
Venezuela,Female,34074,2012
Venezuela,Male,38606,2012
Other South America,Female,1986,2012
Other South America,Male,1982,2012
Europe,Female,552531,2012
Europe,Male,541233,2012
Germany,Female,94162,2012
Germany,Male,89371,2012
Austria,Female,3672,2012
Austria,Male,4242,2012
Belgium,Female,17930,2012
Belgium,Male,16181,2012
Bulgaria,Female,231,2012
Bulgaria,Male,382,2012
Denmark,Female,1306,2012
Denmark,Male,993,2012
Scotland,Female,80,2012
Scotland,Male,125,2012
Spain,Female,77142,2012
Spain,Male,79050,2012
Finland,Female,1247,2012
Finland,Male,1538,2012
France,Female,130891,2012
France,Male,114142,2012
Greece,Female,98,2012
Greece,Male,244,2012
Netherlands,Female,16772,2012
Netherlands,Male,17453,2012
Hungary,Female,228,2012
Hungary,Male,318,2012
United Kingdom,Female,49493,2012
United Kingdom,Male,45913,2012
Ireland,Female,280,2012
Ireland,Male,560,2012
Italy,Female,39509,2012
Italy,Male,50258,2012
Luxembourg,Female,271,2012
Luxembourg,Male,299,2012
Norway,Female,661,2012
Norway,Male,956,2012
Poland,Female,3185,2012
Poland,Male,3402,2012
Portugal,Female,13450,2012
Portugal,Male,12075,2012
Czech Republic,Female,2661,2012
Czech Republic,Male,2861,2012
Romania,Female,171,2012
Romania,Male,396,2012
Russia,Female,81303,2012
Russia,Male,81854,2012
Sweden,Female,1830,2012
Sweden,Male,1773,2012
Switzerland,Female,13882,2012
Switzerland,Male,13933,2012
Ukraine,Female,1295,2012
Ukraine,Male,1847,2012
Other Europe,Female,781,2012
Other Europe,Male,1067,2012
Asia,Female,2400,2012
Asia,Male,6517,2012
South Korea,Female,357,2012
South Korea,Male,859,2012
China,Female,220,2012
China,Male,743,2012
India,Female,147,2012
India,Male,794,2012
Israel,Female,277,2012
Israel,Male,800,2012
Japan,Female,622,2012
Japan,Male,1414,2012
Taiwan,Female,167,2012
Taiwan,Male,320,2012
Other Asia,Female,610,2012
Other Asia,Male,1587,2012
Rest of the World,Female,980,2012
Rest of the World,Male,1648,2012
Australia,Female,678,2012
Australia,Male,980,2012
Other Rest of the World,Female,302,2012
Other Rest of the World,Male,668,2012
Resident Dominicans,Female,212951,2013
Resident Dominicans,Male,208222,2013
Resident Foreigners,Female,21951,2013
Resident Foreigners,Male,30788,2013
Non-Resident Dominicans,Female,327149,2013
Non-Resident Dominicans,Male,297867,2013
Non-Resident Foreigners,Female,2158372,2013
Non-Resident Foreigners,Male,1906382,2013
North America,Female,1259039,2013
North America,Male,1075398,2013
Canada,Female,385801,2013
Canada,Male,302090,2013
United States,Female,863951,2013
United States,Male,758887,2013
Mexico,Female,9287,2013
Mexico,Male,14421,2013
Central America and Caribbean,Female,76486,2013
Central America and Caribbean,Male,110314,2013
Aruba,Female,1131,2013
Aruba,Male,1153,2013
Turks and Caicos Islands,Female,447,2013
Turks and Caicos Islands,Male,900,2013
Costa Rica,Female,4442,2013
Costa Rica,Male,6506,2013
Cuba,Female,2888,2013
Cuba,Male,4233,2013
Curacao,Female,1702,2013
Curacao,Male,2792,2013
El Salvador,Female,1050,2013
El Salvador,Male,1934,2013
Guadeloupe,Female,3002,2013
Guadeloupe,Male,4304,2013
Guatemala,Female,1849,2013
Guatemala,Male,3908,2013
Haiti,Female,2884,2013
Haiti,Male,4377,2013
Honduras,Female,1047,2013
Honduras,Male,1733,2013
Jamaica,Female,357,2013
Jamaica,Male,556,2013
Martinique,Female,1626,2013
Martinique,Male,2638,2013
Panama,Female,5277,2013
Panama,Male,8385,2013
Puerto Rico,Female,43991,2013
Puerto Rico,Male,59831,2013
Saint Martin,Female,1533,2013
Saint Martin,Male,2038,2013
Trinidad and Tobago,Female,924,2013
Trinidad and Tobago,Male,1067,2013
U.S. Virgin Islands,Female,253,2013
U.S. Virgin Islands,Male,651,2013
Other Caribbean,Female,2083,2013
Other Caribbean,Male,3308,2013
South America,Female,247608,2013
South America,Male,203790,2013
Argentina,Female,60281,2013
Argentina,Male,45420,2013
Bolivia,Female,5171,2013
Bolivia,Male,3788,2013
Brazil,Female,50611,2013
Brazil,Male,40703,2013
Colombia,Female,22404,2013
Colombia,Male,21192,2013
Chile,Female,42308,2013
Chile,Male,31616,2013
Ecuador,Female,5840,2013
Ecuador,Male,5134,2013
Peru,Female,19565,2013
Peru,Male,15585,2013
Uruguay,Female,2931,2013
Uruguay,Male,2803,2013
Venezuela,Female,35637,2013
Venezuela,Male,34767,2013
Other South America,Female,2860,2013
Other South America,Male,2782,2013
Europe,Female,571805,2013
Europe,Male,508639,2013
Germany,Female,117647,2013
Germany,Male,95586,2013
Austria,Female,3986,2013
Austria,Male,3463,2013
Belgium,Female,15284,2013
Belgium,Male,12781,2013
Bulgaria,Female,210,2013
Bulgaria,Male,301,2013
Denmark,Female,1530,2013
Denmark,Male,1617,2013
Scotland,Female,145,2013
Scotland,Male,165,2013
Spain,Female,70779,2013
Spain,Male,69207,2013
Finland,Female,1554,2013
Finland,Male,1857,2013
France,Female,122829,2013
France,Male,95570,2013
Greece,Female,116,2013
Greece,Male,221,2013
Netherlands,Female,12898,2013
Netherlands,Male,12518,2013
Hungary,Female,436,2013
Hungary,Male,335,2013
United Kingdom,Female,57832,2013
United Kingdom,Male,47798,2013
Ireland,Female,261,2013
Ireland,Male,417,2013
Italy,Female,31975,2013
Italy,Male,42201,2013
Luxembourg,Female,235,2013
Luxembourg,Male,231,2013
Norway,Female,1120,2013
Norway,Male,1386,2013
Poland,Female,2995,2013
Poland,Male,2875,2013
Portugal,Female,9502,2013
Portugal,Male,7072,2013
Czech Republic,Female,2959,2013
Czech Republic,Male,3020,2013
Romania,Female,313,2013
Romania,Male,341,2013
Russia,Female,96529,2013
Russia,Male,87436,2013
